path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,is_human_doc,doc_class,candidate_action,reason
.github/pull_request_template.md,tracked,.md,1292,2026-06-20,16,.github,.github/pull_request_template.md,true,DOC,KEEP_IN_PLACE,no stale or evidence pattern detected
AGENTS.md,tracked,.md,4342,2026-07-05,1,AGENTS.md,AGENTS.md,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/api/README.md,tracked,.md,5296,2026-06-19,17,apps,apps/api,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/web/public/fonts/ibm-plex-mono/OFL.txt,tracked,.txt,4362,2026-07-04,2,apps,apps/web,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/web/public/fonts/pretendard/OFL.txt,tracked,.txt,4816,2026-06-19,17,apps,apps/web,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/web/public/fonts/suite/OFL.txt,tracked,.txt,4382,2026-06-19,17,apps,apps/web,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/web/README.md,tracked,.md,1968,2026-06-22,14,apps,apps/web,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/web/src/assets/members/README.md,tracked,.md,534,2026-07-04,2,apps,apps/web,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
apps/web/test/README.md,tracked,.md,678,2026-06-19,17,apps,apps/web,true,CURRENT,KEEP_IN_PLACE,repo/package readme or license
artifacts/backups/matter-vault-runtime-stores/2026-07-03T06-46-59-639Z-restored/dms-store.json,tracked,.json,409,2026-07-03,3,artifacts,artifacts/backups,false,EVIDENCE,ARCHIVE_REVIEW,backup/restored artifact requires manifest proof
artifacts/backups/matter-vault-runtime-stores/2026-07-03T06-46-59-639Z-restored/finance-store.json,tracked,.json,412,2026-07-03,3,artifacts,artifacts/backups,false,EVIDENCE,ARCHIVE_REVIEW,backup/restored artifact requires manifest proof
artifacts/backups/matter-vault-runtime-stores/2026-07-03T06-46-59-639Z-restored/matter-store.json,tracked,.json,400,2026-07-03,3,artifacts,artifacts/backups,false,EVIDENCE,ARCHIVE_REVIEW,backup/restored artifact requires manifest proof
