path	area	relation	forest_sha256	root_sha256	forest_size	root_size	forest_lines	root_lines	root_added_lines	root_deleted_lines	shared_contract_count	root_unique_contract_count	forest_unique_contract_count	forest_parse_status	root_parse_status
apps/api/src/hrx-member-roster-registry.js	api-runtime	FOREST_EXTENDS_EXTRACTED_CONTRACT	0a9025aebeeb3da05786f7042bab82c333c84395e45809848e5b703325b5692c	2121bfa2e7c4d02316789a8b86f431c6524d2f5739f8345b64dc3eacae3506d8	9718	7056	214	153	0	61	14	0	3	PASS	PASS
apps/api/src/hrx-runtime-context.js	api-runtime	BIDIRECTIONAL_CONTRACT_DELTA	4a779db1a76a1937555a1da8c81c34fd6c129ed88f203a9d7aff5a6b3d9152c4	b74570e8fb03c65e8a5de6dfdb77cdcebaf32cf0f752c4f3ed0eb63e5964f1f5	205567	180995	4580	4192	92	480	124	8	19	PASS	PASS
apps/api/src/lawos-role-registry.js	api-runtime	FOREST_EXTENDS_EXTRACTED_CONTRACT	cb5560162a0125920662b4087c086514c13d76bfbf9c4f19a9ba49e588fe7433	b6b905824c9390651919dbe585ca51138a19a4c093014a0675876afcf7fcb258	6997	8368	190	254	69	5	6	0	1	PASS	PASS
apps/api/src/middleware/hrx-step-up.js	api-runtime	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	f53b3b6338fa7eb06acc335c99ac214b3edeb3648a28f3e6b0baa99d5f25919a	f9f24bf767b8a21501e6fc3c357936eca8816823f2af03afea6f486507d24be4	3981	4091	109	111	4	2	5	0	0	PASS	PASS
apps/api/src/routes/hrx/route-policy-map.js	api-runtime	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	4773202eae6c4fbec7b6e45b5a934f02facb18b2ae77dc285a84de57ef249c0a	3d8cac7c58c5307a389c8e545f31d82acc07372cdbb41b0dc1bc86862b621d7a	49416	40751	1539	1302	114	351	2	0	0	PASS	PASS
apps/api/src/server.js	api-runtime	FOREST_EXTENDS_EXTRACTED_CONTRACT	1687fc4a7614c5e85cda1517364f3454836ddceb3abaa21978626ae5d954f1d6	e15dae3bfa2fba9587c4b2fdd60afb68a01d8bd02172ed7db2792651745480a3	62844	62189	1741	1726	29	44	96	0	1	PASS	PASS
apps/api/test/hrx/leave-accrual-api.test.js	api-test	BIDIRECTIONAL_CONTRACT_DELTA	c476131baa066a1b89ab50f76ae71347988fabfe134cb61627982f7c30447fc0	978d6577afcbc0534985015809e9e603ebc69da2505863ea29f893e76dc442eb	21661	14189	302	181	70	191	16	13	21	PASS	PASS
apps/api/test/hrx/leave-management-api.test.js	api-test	FOREST_EXTENDS_EXTRACTED_CONTRACT	e4b999ebe5306e3c82514e2d619334875316c9320de6c06c3ae6e1d24ec2ee87	b39826529de6f47ea325e03fb185dbb04d4350247e144790eac53465cf92b23a	14384	11391	256	217	4	43	24	0	3	PASS	PASS
apps/api/test/hrx/leave-policy-api.test.js	api-test	FOREST_EXTENDS_EXTRACTED_CONTRACT	d4ae603af550a0a290a943a74ab150de61ecbc125062bb01010447b4728f2b76	38274d692dca1c0f7d3640b8b2f83376e5e800bc21d0a9e1d3611d0d5bfdc686	6774	3664	177	90	6	93	15	0	4	PASS	PASS
apps/api/test/hrx/route-authz.test.js	api-test	BIDIRECTIONAL_CONTRACT_DELTA	2ddb00cd114e94a90b0b95426498c20a799e0809394ad729fa43e6c9825f5ced	57216ec0e47e7af323193ac293f34021a0552322c791dd8c171ec8ffea2201ea	25493	23207	459	434	35	60	75	8	27	PASS	PASS
